param n := 32 ;
param K := 5 ;
param C := 100 ;
param d :=
2 19.0
3 21.0
4 6.0
5 19.0
6 7.0
7 12.0
8 16.0
9 6.0
10 16.0
11 8.0
12 14.0
13 21.0
14 16.0
15 3.0
16 22.0
17 18.0
18 19.0
19 1.0
20 24.0
21 8.0
22 12.0
23 4.0
24 8.0
25 24.0
26 24.0
27 2.0
28 20.0
29 15.0
30 2.0
31 14.0
32 9.0
;
param c : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 :=
1 . 34 77 75 97 54 51 37 85 88 79 101 28 51 27 81 25 74 76 73 36 64 84 78 25 75 21 25 84 62 16 72
2 34 . 60 59 90 80 40 13 84 94 100 97 8 22 38 97 10 42 77 41 67 30 91 64 39 101 19 46 78 80 19 39
3 77 60 . 3 37 86 26 48 40 58 90 45 67 39 55 77 59 41 41 43 88 48 58 8 58 100 58 64 28 71 65 48
4 75 59 3 . 36 83 23 46 38 56 87 44 65 38 52 74 58 42 38 44 85 49 55 7 55 97 56 61 26 68 63 49
5 97 90 37 36 . 83 50 77 17 33 75 8 96 73 70 59 86 78 25 80 93 85 35 29 73 90 82 76 12 63 89 85
6 54 80 86 83 83 . 65 74 66 56 26 82 78 84 43 36 70 106 57 107 21 101 52 81 41 21 61 34 74 21 63 108
7 51 40 26 23 50 65 . 27 44 56 75 56 45 26 29 66 36 43 39 44 63 43 54 26 32 83 33 39 38 55 40 47
8 37 13 48 46 77 74 27 . 71 82 91 84 19 14 30 86 12 37 65 37 63 28 79 51 32 94 16 40 65 71 21 36
9 85 84 40 38 17 66 44 71 . 19 59 16 88 70 58 43 78 80 9 81 77 84 20 31 60 73 72 62 12 46 79 86
10 88 94 58 56 33 56 56 82 19 . 43 29 96 83 62 26 86 96 18 97 72 99 4 50 63 58 79 62 31 35 85 101
11 79 100 90 87 75 26 75 91 59 43 . 72 99 99 62 17 90 118 52 119 48 116 40 82 61 16 81 55 69 20 84 122
12 101 97 45 44 8 82 56 84 16 29 72 . 102 80 74 55 92 86 26 88 94 93 32 37 76 87 87 78 18 61 94 93
13 28 8 67 65 96 78 45 19 88 96 99 102 . 30 37 97 10 50 81 49 63 38 93 70 38 99 18 44 83 80 15 47
14 51 22 39 38 73 84 26 14 70 83 99 80 30 . 41 92 26 24 65 23 76 17 80 44 43 103 30 51 61 78 35 24
15 27 38 55 52 70 43 29 30 58 62 62 74 37 41 . 60 28 64 49 64 35 58 58 53 3 64 19 10 58 42 24 65
16 81 97 77 74 59 36 66 86 43 26 17 55 97 92 60 . 88 109 37 110 56 109 23 69 60 32 79 56 54 19 84 114
17 25 10 59 58 86 70 36 12 78 86 90 92 10 26 28 88 . 49 71 48 56 38 83 62 29 91 8 35 74 70 9 47
18 74 42 41 42 78 106 43 37 80 96 118 86 50 24 64 109 49 . 78 2 99 13 94 49 67 125 54 75 69 98 58 7
19 76 77 41 38 25 57 39 65 9 18 52 26 81 65 49 37 71 78 . 79 68 81 17 32 51 65 65 53 17 38 71 83
20 73 41 43 44 80 107 44 37 81 97 119 88 49 23 64 110 48 2 79 . 99 12 96 51 67 126 53 75 71 99 57 5
21 36 67 88 85 93 21 63 63 77 72 48 94 63 76 35 56 56 99 68 99 . 92 68 84 32 41 48 25 82 37 48 100
22 64 30 48 49 85 101 43 28 84 99 116 93 38 17 58 109 38 13 81 12 92 . 97 56 60 121 44 68 75 96 47 9
23 84 91 58 55 35 52 54 79 20 4 40 32 93 80 58 23 83 94 17 96 68 97 . 49 59 55 76 58 32 31 82 100
24 78 64 8 7 29 81 26 51 31 50 82 37 70 44 53 69 62 49 32 51 84 56 49 . 56 93 59 61 19 64 66 56
25 25 39 58 55 73 41 32 32 60 63 61 76 38 43 3 60 29 67 51 67 32 60 59 56 . 62 20 8 60 41 24 67
26 75 101 100 97 90 21 83 94 73 58 16 87 99 103 64 32 91 125 65 126 41 121 55 93 62 . 82 55 83 29 84 128
27 21 19 58 56 82 61 33 16 72 79 81 87 18 30 19 79 8 54 65 53 48 44 76 59 20 82 . 26 69 61 7 53
28 25 46 64 61 76 34 39 40 62 62 55 78 44 51 10 56 35 75 53 75 25 68 58 61 8 55 26 . 63 37 29 76
29 84 78 28 26 12 74 38 65 12 31 69 18 83 61 58 54 74 69 17 71 82 75 32 19 60 83 69 63 . 55 76 75
30 62 80 71 68 63 21 55 71 46 35 20 61 80 78 42 19 70 98 38 99 37 96 31 64 41 29 61 37 55 . 65 101
31 16 19 65 63 89 63 40 21 79 85 84 94 15 35 24 84 9 58 71 57 48 47 82 66 24 84 7 29 76 65 . 56
32 72 39 48 49 85 108 47 36 86 101 122 93 47 24 65 114 47 7 83 5 100 9 100 56 67 128 53 76 75 101 56 .
;
