param n := 30 ;
param K := 4 ;
param C := 50 ;
param d :=
2 6
3 0
4 4
5 3
6 2
7 5
8 5
9 9
10 5
11 7
12 3
13 4
14 5
15 0
16 1
17 6
18 0
19 7
20 3
21 2
22 2
23 2
24 7
25 8
26 0
27 5
28 4
29 5
30 6
;
param c : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 :=
1 0 15 1 13 3 8 1 3 9 5 2 12 4 5 9 4 14 9 15 18 9 5 6 12 2 11 2 3 10 17
2 15 0 17 12 15 10 16 19 6 18 16 14 18 20 11 16 1 18 0 4 14 10 14 13 16 7 17 13 10 3
3 1 17 0 14 3 9 0 2 10 5 2 13 5 3 10 4 15 10 17 20 9 7 7 13 3 12 1 4 11 19
4 13 12 14 0 15 5 14 15 12 12 12 2 11 16 17 17 10 7 13 11 19 9 7 20 11 15 15 10 17 11
5 3 15 3 15 0 9 3 6 8 8 5 15 8 7 6 1 14 13 14 18 5 6 9 9 6 9 2 6 7 17
6 8 10 9 5 9 0 9 10 7 8 7 5 8 12 11 11 8 7 10 11 13 3 3 15 7 10 10 4 12 10
7 1 16 0 14 3 9 0 3 10 5 3 13 5 4 9 4 15 10 16 19 8 6 7 12 3 11 1 4 10 18
8 3 19 2 15 6 10 3 0 13 3 3 13 4 1 12 6 17 9 19 22 11 8 8 15 3 15 3 5 13 20
9 9 6 10 12 8 7 10 13 0 13 10 13 13 14 5 9 6 14 6 11 8 6 10 8 10 2 10 8 4 9
10 5 18 5 12 8 8 5 3 13 0 2 10 0 5 14 9 16 6 18 20 14 7 5 17 2 16 6 4 15 19
11 2 16 2 12 5 7 3 3 10 2 0 10 2 4 11 7 14 7 16 19 11 5 5 14 0 13 4 2 12 17
12 12 14 13 2 15 5 13 13 13 10 10 0 10 15 17 16 12 5 14 13 19 8 5 21 10 16 14 9 17 13
13 4 18 5 11 8 8 5 4 13 0 2 10 0 5 14 9 16 5 18 20 14 7 5 17 2 15 6 4 15 18
14 5 20 3 16 7 12 4 1 14 5 4 15 5 0 13 7 19 11 20 23 12 10 9 16 5 16 4 7 15 22
15 9 11 10 17 6 11 9 12 5 14 11 17 14 13 0 6 11 17 11 16 3 9 13 3 11 4 9 10 1 14
16 4 16 4 17 1 11 4 6 9 9 7 16 9 7 6 0 15 14 16 20 5 8 11 9 7 10 3 7 8 19
17 14 1 15 10 14 8 15 17 6 16 14 12 16 19 11 15 0 16 2 5 14 9 12 13 14 7 15 12 10 3
18 9 18 10 7 13 7 10 9 14 6 7 5 5 11 17 14 16 0 18 18 18 8 4 21 7 17 12 7 18 17
19 15 0 17 13 14 10 16 19 6 18 16 14 18 20 11 16 2 18 0 5 14 10 14 12 16 6 16 13 9 4
20 18 4 20 11 18 11 19 22 11 20 19 13 20 23 16 20 5 18 5 0 19 13 15 18 18 12 20 16 15 1
21 9 14 9 19 5 13 8 11 8 14 11 19 14 12 3 5 14 18 14 19 0 10 14 3 11 7 8 11 4 17
22 5 10 7 9 6 3 6 8 6 7 5 8 7 10 9 8 9 8 10 13 10 0 4 12 5 9 7 2 9 12
23 6 14 7 7 9 3 7 8 10 5 5 5 5 9 13 11 12 4 14 15 14 4 0 16 4 13 9 3 13 14
24 12 13 13 20 9 15 12 15 8 17 14 21 17 16 3 9 13 21 12 18 3 12 16 0 14 6 11 13 3 16
25 2 16 3 11 6 7 3 3 10 2 0 10 2 5 11 7 14 7 16 18 11 5 4 14 0 13 4 2 12 17
26 11 7 12 15 9 10 11 15 2 16 13 16 15 16 4 10 7 17 6 12 7 9 13 6 13 0 12 11 3 10
27 2 17 1 15 2 10 1 3 10 6 4 14 6 4 9 3 15 12 16 20 8 7 9 11 4 12 0 5 10 19
28 3 13 4 10 6 4 4 5 8 4 2 9 4 7 10 7 12 7 13 16 11 2 3 13 2 11 5 0 11 14
29 10 10 11 17 7 12 10 13 4 15 12 17 15 15 1 8 10 18 9 15 4 9 13 3 12 3 10 11 0 13
30 17 3 19 11 17 10 18 20 9 19 17 13 18 22 14 19 3 17 4 1 17 12 14 16 17 10 19 14 13 0
;
