## use it with vrp2.run
## converting to open by adding a dummy city with distance from depo and other cities 0

param n := 8; 
param K := 3; 
param C := 250; 
param d := 1 50, 2 50, 3 50, 4 150, 5 50, 6 50, 7 50,8 0; 
param c : 0 1 2 3 4 5 6 7 8 9:= 
0 . 0 0 0 0 0 0 0 0 0
1 0 . 4.5 6.5 7.5 10 13 10 10 0 
2 0 8.5 . 1.9 3 2.7 14 12 12 0
3 0 13 5 . 1.1 3.5 16 13 13 0
4 0  12 4.5 4.5 . 2.4 14 12 12 0 
5 0 13 6.5 5 6 . 16 13 13 0
6 0 8.5 16 15 16 19 . 2.6 9 0 
7 0 6 14 13 14 16 2.6 . 1 0
8 0 5.5 13 12 13 15 3.5 8 . 0
9 0 0 0 0 0 0 0 0 0 .;
