param n := 15 ;
param K := 3 ;
param C := 50 ;
param d :=
1 0
2 4
3 5
4 1
5 9
6 1
7 2
8 2
9 7
10 4
11 1
12 2
13 9
14 9
15 1
;
param c : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 :=
1 0 3 12 19 7 10 16 14 15 16 10 8 16 10 22
2 3 0 10 16 4 7 13 12 12 13 7 6 15 7 19
3 12 10 0 14 5 5 17 4 13 12 2 10 19 8 13
4 19 16 14 0 13 10 8 17 4 3 15 10 11 8 5
5 7 4 5 13 0 3 14 8 11 11 3 6 15 5 15
6 10 7 5 10 3 0 12 9 8 7 4 5 14 3 12
7 16 13 17 8 14 12 0 21 4 6 17 8 2 9 13
8 14 12 4 17 8 9 21 0 17 16 4 14 23 12 17
9 15 12 13 4 11 8 4 17 0 2 13 6 7 5 9
10 16 13 12 3 11 7 6 16 2 0 12 7 9 5 7
11 10 7 2 15 3 4 17 4 13 12 0 9 19 8 15
12 8 6 10 10 6 5 8 14 6 7 9 0 9 3 14
13 16 15 19 11 15 14 2 23 7 9 19 9 0 11 16
14 10 7 8 8 5 3 9 12 5 5 8 3 11 0 11
15 22 19 13 5 15 12 13 17 9 7 15 14 16 11 0
;
