param n := 101 ;
param K := 10 ;
param C := 200 ;
param d :=
1 0
2 10.0
3 30.0
4 10.0
5 10.0
6 10.0
7 20.0
8 20.0
9 20.0
10 10.0
11 10.0
12 10.0
13 20.0
14 30.0
15 10.0
16 40.0
17 40.0
18 20.0
19 20.0
20 10.0
21 10.0
22 20.0
23 20.0
24 10.0
25 10.0
26 40.0
27 10.0
28 10.0
29 20.0
30 10.0
31 10.0
32 20.0
33 30.0
34 40.0
35 20.0
36 10.0
37 10.0
38 20.0
39 30.0
40 20.0
41 10.0
42 10.0
43 20.0
44 10.0
45 10.0
46 10.0
47 30.0
48 10.0
49 10.0
50 10.0
51 10.0
52 10.0
53 10.0
54 20.0
55 40.0
56 10.0
57 30.0
58 40.0
59 30.0
60 10.0
61 20.0
62 10.0
63 20.0
64 50.0
65 10.0
66 10.0
67 10.0
68 10.0
69 10.0
70 10.0
71 30.0
72 20.0
73 10.0
74 10.0
75 50.0
76 20.0
77 10.0
78 10.0
79 20.0
80 10.0
81 10.0
82 30.0
83 20.0
84 10.0
85 20.0
86 30.0
87 10.0
88 20.0
89 30.0
90 10.0
91 10.0
92 10.0
93 20.0
94 40.0
95 10.0
96 30.0
97 10.0
98 30.0
99 20.0
100 10.0
101 20.0
;
param c : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 :=
1 64 78 80 77 78 76 79 77 78 80 77 79 93 85 93 89 93 85 85 89 64 65 65 68 64 65 68 65 68 64 68 53 56 56 60 53 60 56 56 60 50 51 51 53 50 50 51 53 50 53 51 50 53 40 41 42 40 42 40 42 40 50 53 56 50 56 53 56 50 53 50 53 50 50 53 76 53 50 53 50 47 53 68 68 70 72 68 68 72 70 68 72 93 93 91 89 89 93 85 89 93
2 67 81 83 79 81 79 82 79 81 83 79 82 96 87 96 91 96 87 87 91 67 68 68 71 67 68 71 68 71 67 71 57 60 60 63 57 63 60 60 63 54 55 55 57 54 54 55 57 54 57 55 54 57 45 46 47 45 47 45 47 45 54 57 60 54 60 57 60 54 57 54 57 54 54 57 79 57 54 57 54 51 57 71 71 73 75 71 71 75 73 71 75 96 96 93 91 91 96 87 91 96
