param n := 50 ;
param K := 6 ;
param C := 50 ;
param d :=
1 0
2 1
3 0
4 9
5 8
6 2
7 6
8 7
9 2
10 7
11 2
12 5
13 8
14 8
15 7
16 7
17 4
18 4
19 9
20 7
21 4
22 4
23 8
24 3
25 6
26 4
27 7
28 1
29 0
30 5
31 3
32 9
33 7
34 9
35 3
36 4
37 7
38 1
39 2
40 3
41 1
42 7
43 0
44 2
45 9
46 6
47 1
48 9
49 6
50 1
;
param c : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 :=
1 0 9 10 14 7 11 19 19 18 4 5 21 15 13 10 4 3 18 11 15 3 14 10 18 10 15 11 5 16 21 21 6 17 12 10 5 8 14 7 9 13 16 7 13 4 14 11 19 7 23
2 9 0 11 5 1 2 10 10 9 10 6 15 12 5 4 10 6 9 4 8 5 5 8 12 12 8 13 5 8 15 13 4 8 3 9 7 5 15 2 3 15 8 1 6 4 7 14 12 6 16
3 10 11 0 15 9 12 20 21 18 15 13 12 5 16 15 15 11 18 8 10 9 15 2 10 2 10 2 7 12 13 15 13 17 14 1 5 5 4 10 13 4 11 10 17 8 8 3 12 5 16
4 14 5 15 0 7 3 4 5 3 15 11 14 15 2 6 14 12 3 7 8 11 0 12 12 17 8 18 11 6 14 10 9 3 3 13 13 10 19 7 6 20 7 7 4 10 9 19 11 11 14
5 7 1 9 7 0 3 12 12 11 9 6 14 12 7 5 9 5 11 4 8 4 7 7 12 11 8 12 3 9 15 13 4 10 5 8 5 4 14 0 3 14 9 1 7 3 7 12 12 4 16
6 11 2 12 3 3 0 8 8 7 12 8 14 13 3 4 11 8 7 5 7 7 3 9 12 14 7 15 7 7 14 12 6 6 1 10 9 7 16 4 3 17 8 3 4 6 7 15 11 7 15
7 19 10 20 4 12 8 0 1 2 19 14 17 19 5 9 18 16 2 12 11 16 4 17 15 22 11 22 15 9 16 12 12 3 7 18 17 15 24 12 10 25 11 11 5 15 13 23 13 15 16
8 19 10 21 5 12 8 1 0 4 18 14 18 20 5 8 17 16 3 12 12 16 5 18 17 22 12 23 16 11 18 13 12 4 7 19 18 15 25 12 10 25 12 12 5 15 14 24 15 16 17
9 18 9 18 3 11 7 2 4 0 19 15 14 17 6 9 18 16 0 10 8 15 4 15 13 20 9 21 14 7 13 9 13 0 7 16 16 13 22 11 10 23 8 11 6 14 11 22 10 14 13
10 4 10 15 15 9 12 19 18 19 0 4 24 19 13 9 0 4 19 14 18 6 14 14 21 15 18 16 8 19 24 23 6 18 12 14 9 11 19 9 8 18 19 9 13 7 17 16 22 10 26
11 5 6 13 11 6 8 14 14 15 4 0 21 17 9 5 3 2 14 10 15 4 10 12 18 14 14 15 6 15 21 19 2 14 8 12 8 9 18 5 4 17 15 5 9 5 14 15 19 8 23
12 21 15 12 14 14 14 17 18 14 24 21 0 7 17 19 24 20 15 10 6 18 15 11 2 14 6 14 15 7 1 6 19 14 16 12 15 12 13 15 17 15 6 16 18 16 7 15 3 13 3
13 15 12 5 15 12 13 19 20 17 19 17 7 0 17 17 19 15 17 8 8 13 15 5 6 7 8 7 10 10 9 12 16 16 15 5 9 8 5 12 15 7 9 13 18 12 6 8 8 8 11
14 13 5 16 2 7 3 5 5 6 13 9 17 17 0 3 12 10 5 8 10 10 2 13 15 18 10 19 11 9 17 13 7 5 2 14 13 10 20 7 4 21 10 6 1 9 11 19 14 11 17
15 10 4 15 6 5 4 9 8 9 9 5 19 17 3 0 9 7 9 9 12 7 5 13 16 16 12 17 9 11 19 16 3 8 3 13 11 10 20 5 2 20 12 4 3 7 12 18 16 10 19
16 4 10 15 14 9 11 18 17 18 0 3 24 19 12 9 0 3 18 13 18 5 14 14 21 15 17 16 8 18 24 23 5 17 11 14 9 11 19 8 8 18 18 8 12 7 16 16 21 10 26
17 3 6 11 12 5 8 16 16 16 4 2 20 15 10 7 3 0 15 9 14 1 11 10 17 11 14 12 4 14 20 19 3 15 9 10 6 7 15 4 5 15 14 4 10 3 12 13 18 6 22
18 18 9 18 3 11 7 2 3 0 19 14 15 17 5 9 18 15 0 10 9 15 4 15 13 20 9 21 14 7 14 9 12 0 6 16 16 13 22 11 10 23 8 11 6 14 11 22 11 14 14
19 11 4 8 7 4 5 12 12 10 14 10 10 8 8 9 13 9 10 0 4 8 7 5 8 10 4 10 6 5 10 10 9 9 7 6 7 3 12 5 7 12 5 5 9 6 3 11 8 4 12
20 15 8 10 8 8 7 11 12 8 18 15 6 8 10 12 18 14 9 4 0 12 8 8 4 13 0 13 10 2 6 5 13 8 9 9 11 7 13 9 11 15 0 9 11 11 2 14 3 9 7
21 3 5 9 11 4 7 16 16 15 6 4 18 13 10 7 5 1 15 8 12 0 11 8 15 10 12 11 2 13 19 18 4 14 8 8 4 5 14 3 6 13 13 4 10 1 11 11 16 4 20
22 14 5 15 0 7 3 4 5 4 14 10 15 15 2 5 14 11 4 7 8 11 0 12 13 17 8 18 10 7 14 11 8 3 2 13 12 10 19 7 5 20 8 7 3 10 9 19 11 11 15
23 10 8 2 12 7 9 17 18 15 14 12 11 5 13 13 14 10 15 5 8 8 12 0 8 5 7 5 5 10 12 13 11 14 11 1 4 3 6 7 11 7 8 8 14 7 5 6 10 3 14
24 18 12 10 12 12 12 15 17 13 21 18 2 6 15 16 21 17 13 8 4 15 13 8 0 12 4 12 13 6 3 6 17 12 13 9 13 10 12 13 15 13 4 13 16 14 4 14 2 11 5
25 10 12 2 17 11 14 22 22 20 15 14 14 7 18 16 15 11 20 10 13 10 17 5 12 0 12 0 8 15 15 18 14 19 16 3 5 7 4 11 14 3 13 12 18 9 10 1 15 6 18
26 15 8 10 8 8 7 11 12 9 18 14 6 8 10 12 17 14 9 4 0 12 8 7 4 12 0 13 10 2 6 5 13 8 9 9 11 7 13 9 11 14 1 9 11 10 2 14 4 9 8
27 11 13 2 18 12 15 22 23 21 16 15 14 7 19 17 16 12 21 10 13 11 18 5 12 0 13 0 8 15 15 18 15 20 16 4 6 8 3 12 15 2 14 12 19 10 10 1 15 7 18
28 5 5 7 11 3 7 15 16 14 8 6 15 10 11 9 8 4 14 6 10 2 10 5 13 8 10 8 0 11 16 16 6 13 8 5 2 3 11 3 7 11 11 4 11 1 8 9 14 2 18
29 16 8 12 6 9 7 9 11 7 19 15 7 10 9 11 18 14 7 5 2 13 7 10 6 15 2 15 11 0 7 4 13 6 8 11 12 9 15 10 11 17 1 10 10 11 4 16 4 10 8
30 21 15 13 14 15 14 16 18 13 24 21 1 9 17 19 24 20 14 10 6 19 14 12 3 15 6 15 16 7 0 5 19 13 16 13 16 13 14 16 18 16 6 16 18 17 7 17 3 14 2
31 21 13 15 10 13 12 12 13 9 23 19 6 12 13 16 23 19 9 10 5 18 11 13 6 18 5 18 16 4 5 0 17 9 13 14 16 13 17 14 15 19 4 14 14 16 7 19 3 14 4
32 6 4 13 9 4 6 12 12 13 6 2 19 16 7 3 5 3 12 9 13 4 8 11 17 14 13 15 6 13 19 17 0 12 5 11 8 8 17 3 2 17 13 3 7 4 12 15 17 7 21
33 17 8 17 3 10 6 3 4 0 18 14 14 16 5 8 17 15 0 9 8 14 3 14 12 19 8 20 13 6 13 9 12 0 6 15 15 12 21 10 9 22 7 10 6 13 10 21 10 13 13
34 12 3 14 3 5 1 7 7 7 12 8 16 15 2 3 11 9 6 7 9 8 2 11 13 16 9 16 8 8 16 13 5 6 0 12 11 8 18 5 3 19 9 4 2 7 9 17 13 9 16
35 10 9 1 13 8 10 18 19 16 14 12 12 5 14 13 14 10 16 6 9 8 13 1 9 3 9 4 5 11 13 14 11 15 12 0 4 3 6 8 11 6 10 9 15 7 6 5 11 3 15
36 5 7 5 13 5 9 17 18 16 9 8 15 9 13 11 9 6 16 7 11 4 12 4 13 5 11 6 2 12 16 16 8 15 11 4 0 3 9 5 9 9 12 6 13 3 9 7 14 2 18
37 8 5 5 10 4 7 15 15 13 11 9 12 8 10 10 11 7 13 3 7 5 10 3 10 7 7 8 3 9 13 13 8 12 8 3 3 0 10 4 8 10 8 5 11 4 5 8 11 1 15
38 14 15 4 19 14 16 24 25 22 19 18 13 5 20 20 19 15 22 12 13 14 19 6 12 4 13 3 11 15 14 17 17 21 18 6 9 10 0 14 18 2 14 15 21 13 11 3 14 10 17
39 7 2 10 7 0 4 12 12 11 9 5 15 12 7 5 8 4 11 5 9 3 7 7 13 11 9 12 3 10 16 14 3 10 5 8 5 4 14 0 3 14 10 0 7 2 8 12 13 4 17
40 9 3 13 6 3 3 10 10 10 8 4 17 15 4 2 8 5 10 7 11 6 5 11 15 14 11 15 7 11 18 15 2 9 3 11 9 8 18 3 0 18 11 2 4 5 10 16 15 8 19
41 13 15 4 20 14 17 25 25 23 18 17 15 7 21 20 18 15 23 12 15 13 20 7 13 3 14 2 11 17 16 19 17 22 19 6 9 10 2 14 18 0 15 15 21 12 12 2 16 9 19
42 16 8 11 7 9 8 11 12 8 19 15 6 9 10 12 18 14 8 5 0 13 8 8 4 13 1 14 11 1 6 4 13 7 9 10 12 8 14 10 11 15 0 10 11 11 3 15 3 10 7
43 7 1 10 7 1 3 11 12 11 9 5 16 13 6 4 8 4 11 5 9 4 7 8 13 12 9 12 4 10 16 14 3 10 4 9 6 5 15 0 2 15 10 0 7 3 8 13 13 5 17
44 13 6 17 4 7 4 5 5 6 13 9 18 18 1 3 12 10 6 9 11 10 3 14 16 18 11 19 11 10 18 14 7 6 2 15 13 11 21 7 4 21 11 7 0 10 12 20 15 12 18
45 4 4 8 10 3 6 15 15 14 7 5 16 12 9 7 7 3 14 6 11 1 10 7 14 9 10 10 1 11 17 16 4 13 7 7 3 4 13 2 5 12 11 3 10 0 9 10 14 3 18
46 14 7 8 9 7 7 13 14 11 17 14 7 6 11 12 16 12 11 3 2 11 9 5 4 10 2 10 8 4 7 7 12 10 9 6 9 5 11 8 10 12 3 8 12 9 0 11 5 7 9
47 11 14 3 19 12 15 23 24 22 16 15 15 8 19 18 16 13 22 11 14 11 19 6 14 1 14 1 9 16 17 19 15 21 17 5 7 8 3 12 16 2 15 13 20 10 11 0 16 8 19
48 19 12 12 11 12 11 13 15 10 22 19 3 8 14 16 21 18 11 8 3 16 11 10 2 15 4 15 14 4 3 3 17 10 13 11 14 11 14 13 15 16 3 13 15 14 5 16 0 12 4
49 7 6 5 11 4 7 15 16 14 10 8 13 8 11 10 10 6 14 4 9 4 11 3 11 6 9 7 2 10 14 14 7 13 9 3 2 1 10 4 8 9 10 5 12 3 7 8 12 0 16
