param n := 45 ;
param K := 4 ;
param C := 2010 ;
param d :=
1 0
2 33.0
3 15.0
4 10.0
5 40.0
6 15.0
7 5.0
8 77.0
9 435.0
10 165.0
11 120.0
12 65.0
13 23.0
14 18.0
15 550.0
16 78.0
17 627.0
18 9.0
19 96.0
20 116.0
21 116.0
22 83.0
23 41.0
24 645.0
25 694.0
26 573.0
27 1.0
28 181.0
29 106.0
30 52.0
31 117.0
32 52.0
33 1300.0
34 57.0
35 28.0
36 84.0
37 1.0
38 54.0
39 19.0
40 88.0
41 41.0
42 238.0
43 66.0
44 44.0
45 42.0
;
param c : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 :=
1 0 5 9 50 50 70 71 65 22 2 17 49 52 53 52 2 9 22 27 25 10 10 63 64 0 34 61 81 129 82 41 50 51 65 45 54 29 21 22 39 39 41 28 30 30
2 5 0 4 46 46 66 67 61 27 4 17 46 48 49 48 3 6 19 26 31 16 15 68 69 5 40 67 78 131 79 40 48 49 63 42 51 26 18 19 36 37 40 25 31 31
3 9 4 0 46 46 66 67 61 31 8 15 42 44 45 44 7 4 16 24 34 19 19 70 71 9 42 69 78 135 80 42 50 51 65 43 51 26 19 20 38 38 42 27 34 35
4 50 46 46 0 1 21 22 16 58 47 61 73 67 67 66 48 50 58 68 73 58 58 112 113 50 85 111 33 120 40 29 23 24 36 17 9 22 29 29 21 20 28 26 41 42
5 50 46 46 1 0 21 22 16 59 48 61 73 66 66 66 48 50 58 68 73 59 58 113 114 50 85 111 33 121 41 30 24 25 37 18 10 23 30 30 21 21 29 27 42 43
6 70 66 66 21 21 0 1 5 76 68 82 93 85 85 85 68 71 79 89 91 78 77 131 132 70 104 130 13 115 25 40 29 30 33 29 16 41 49 49 35 35 39 44 56 57
7 71 67 67 22 22 1 0 6 77 69 83 94 86 86 85 69 72 80 90 92 79 78 132 133 71 105 131 13 115 25 41 30 30 33 30 17 42 50 50 36 35 40 45 57 57
8 65 61 61 16 16 5 6 0 70 62 77 89 82 82 81 62 66 74 84 86 72 71 125 126 65 98 124 17 113 26 34 24 24 30 23 10 36 44 43 29 29 33 39 50 51
9 22 27 31 58 59 76 77 70 0 23 37 70 74 75 74 24 31 43 47 18 15 15 56 57 22 33 55 83 111 80 38 49 50 60 46 59 36 30 30 40 41 38 32 21 21
10 2 4 8 47 48 68 69 62 23 0 18 49 52 53 52 1 9 22 28 28 12 12 65 66 2 37 64 78 129 79 39 48 49 63 42 52 26 18 19 36 37 39 25 28 29
11 17 17 15 61 61 82 83 77 37 18 0 34 40 41 40 17 11 9 10 32 22 22 61 62 17 34 60 94 147 96 57 65 66 81 59 67 42 35 36 53 54 57 43 47 47
12 49 46 42 73 73 93 94 89 70 49 34 0 13 14 13 48 40 26 26 66 56 56 87 87 49 63 85 107 177 114 82 87 88 103 79 82 63 58 60 76 76 82 67 76 77
13 52 48 44 67 66 85 86 82 74 52 40 13 0 1 1 51 43 32 34 73 61 61 97 98 52 73 96 99 177 107 80 83 84 99 75 76 61 57 58 73 73 79 65 77 78
14 53 49 45 67 66 85 86 82 75 53 41 14 1 0 1 52 44 33 35 74 62 62 99 99 53 74 97 99 177 108 81 83 85 100 76 76 61 58 59 73 73 80 66 78 78
15 52 48 44 66 66 85 85 81 74 52 40 13 1 1 0 50 43 32 35 73 61 61 98 98 52 73 97 98 176 107 80 82 84 99 74 75 60 56 58 72 72 79 64 76 77
16 2 3 7 48 48 68 69 62 24 1 17 48 51 52 50 0 8 21 27 28 13 12 66 66 2 37 64 79 130 80 40 48 50 63 43 52 27 19 20 37 37 40 26 29 30
17 9 6 4 50 50 71 72 66 31 9 11 40 43 44 43 8 0 13 20 32 18 18 67 68 9 38 65 83 138 85 46 54 55 70 48 56 31 23 25 42 43 46 31 37 38
18 22 19 16 58 58 79 80 74 43 22 9 26 32 33 32 21 13 0 10 41 29 29 70 70 22 42 68 91 151 95 59 65 67 81 58 65 42 35 36 54 54 58 43 50 51
19 27 26 24 68 68 89 90 84 47 28 10 26 34 35 35 27 20 10 0 40 31 32 63 64 27 38 62 101 157 105 67 74 75 90 68 74 51 44 45 62 63 67 52 57 58
20 25 31 34 73 73 91 92 86 18 28 32 66 73 74 73 28 32 41 40 0 15 15 39 40 25 15 38 100 126 98 55 66 67 78 63 75 50 43 43 56 57 55 47 39 39
21 10 16 19 58 59 78 79 72 15 12 22 56 61 62 61 13 18 29 31 15 0 0 54 55 10 26 52 87 126 87 45 55 56 68 50 61 36 28 29 44 44 45 33 30 30
22 10 15 19 58 58 77 78 71 15 12 22 56 61 62 61 12 18 29 32 15 0 0 54 55 10 27 53 87 126 86 44 54 55 67 50 61 35 28 28 43 44 44 33 29 30
23 63 68 70 112 113 131 132 125 56 65 61 87 97 99 98 66 67 70 63 39 54 54 0 1 63 28 1 140 149 137 95 106 106 116 103 114 90 82 83 96 97 95 86 78 77
